lat,lng,hours,vessels
-1.35,152.85,0.380277778,1
-1.35,152.95,0.586527778,1
-1.35,153.05,0.631666667,1
-1.35,153.15,0.812638889,1
-1.35,153.25,0.434444444,1
-1.35,167.15,7.212361111,1
-1.35,167.95,0.790416667,1
-1.35,168.05,3.998055556,1
-1.35,172.65,0.82125,1
-1.35,68.95,3.679166667,1
-1.45,-167.25,1.425277778,1
-1.45,-167.35,0.420694444,1
-1.45,-168.45,0.774444444,1
-1.45,147.75,1.675555556,1
-1.45,147.85,7.63875,2
-1.45,151.85,4.308194444,1
-1.45,151.95,0.721111111,1
-1.45,152.15,1.971111111,1
-1.45,152.25,0.477777778,1
-1.45,152.35,0.42375,1
-1.45,152.45,0.61375,1
-1.45,152.55,0.383333333,1
-1.45,159.35,1.87125,1
-1.45,159.45,2.311388889,1
-1.45,168.05,4.61,1
-1.45,172.65,9.406527778,1
-1.55,-164.15,2.227361111,1
-1.55,-164.25,3.168472222,1
-1.55,-164.45,3.084444444,1
-1.55,-164.55,1.717777778,1
-1.55,-17.05,4.979583333,1
-1.55,147.85,3.908611111,1
-1.55,147.95,5.654444444,1
-1.55,151.95,5.455694444,1
-1.55,152.15,1.85875,1
-1.55,152.25,1.552777778,1
-1.55,159.45,4.873611111,1
-1.55,168.65,3.862638889,1
-1.55,171.65,2.557361111,1
-1.55,171.75,3.52125,1
-1.55,172.65,1.348194444,1
-1.55,68.85,1.758194444,1
-1.65,-154.85,5.35125,1
-1.65,-154.95,0.474444444,1
-1.65,-155.05,0.323472222,1
-1.65,-155.15,0.814444444,1
-1.65,-155.25,5.247083333,1
-1.65,-155.65,0.46375,1
-1.65,-155.75,1.204722222,1
-1.65,-156.75,24.40083333,1
-1.65,-164.15,1.308472222,1
-1.65,-164.75,3.329444444,1
-1.65,-166.45,2.088055556,1
-1.65,-166.55,1.10375,1
-1.65,-166.65,1.020972222,1
-1.65,-166.75,3.400138889,1
-1.65,-167.55,12.1125,1
-1.65,159.45,0.703888889,1
-1.65,159.55,3.432222222,1
-1.65,171.65,5.711388889,1
-1.65,69.05,4.520833333,1
-1.75,-137.55,0.350277778,1
-1.75,-138.05,4.197916667,1
-1.75,-149.85,5.22875,1
-1.75,-149.95,0.781805556,1
-1.75,-152.45,5.265972222,1
-1.75,-152.55,1.666666667,1
-1.75,-152.65,5.284305556,1
-1.75,-155.25,6.085277778,1
-1.75,-155.35,6.084722222,1
-1.75,-155.55,5.225,1
-1.75,-163.65,5.25625,1
-1.75,-164.15,0.874861111,1
-1.75,-164.25,0.749722222,1
-1.75,-164.35,0.737222222,1
-1.75,-164.45,1.8175,2
-1.75,-164.55,3.806527778,2
-1.75,-164.65,4.130277778,1
-1.75,-166.35,0.2125,1
-1.75,-166.45,0.820416667,1
-1.75,-166.75,1.85,1
-1.75,152.35,1.770138889,1
-1.75,68.85,2.078611111,1
-1.85,-137.55,0.470694444,1
-1.85,-137.85,1.830694444,1
-1.85,-137.95,3.892916667,1
-1.85,-149.85,0.822222222,1
-1.85,-149.95,0.849861111,1
-1.85,-151.55,4.805,1
-1.85,-151.65,0.432361111,1
-1.85,-151.75,0.825,1
-1.85,-151.85,0.801666667,1
-1.85,-151.95,5.298611111,1
-1.85,-156.85,1.159722222,1
-1.85,-163.65,0.804166667,1
-1.85,-163.85,5.332222222,1
-1.85,-163.95,6.4975,1
-1.85,-164.55,4.936388889,1
-1.85,-166.35,0.091666667,1
-1.85,-166.45,2.008611111,1
-1.85,-166.55,0.603888889,1
-1.85,-166.65,2.762916667,1
-1.85,-167.65,6.515972222,1
-1.85,-167.75,0.845694444,1
-1.85,-18.35,2.70625,1
-1.85,-18.45,4.314166667,1
-1.85,151.95,1.8875,1
-1.85,159.05,0.995416667,1
-1.85,159.15,2.151388889,1
-1.85,174.15,0.720833333,1
-1.95,-137.55,5.318333333,1
-1.95,-137.95,2.091111111,1
-1.95,-155.15,5.254305556,1
